batch	slice	signal_id	signal_type	parent_signal_id	pathway	pathwayLabel	ligand	receptor	senderRegion	receiverRegion	interactionStrength	interactionPValue	edge_rank_within_signal	downstreamTF	tf_rank	rawCorrelation	correlation	tfPValue	tfFDR	direction	tfSelectionMode	clusterResultKey	edgeFilterLabel
E125	E125	lr_pair:Inhbb-Acvr1b_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhbb	Acvr1b_Acvr2a	Epithelial	Epithelial	5.452580139981669e-06	0.0	1	Pou3f1	3.0	0.17412625954236488	0.17412625954236488	2.4787746278981495e-05	0.00801176096675033	activation	FDR	commot_cluster-lineage-cellchat-Inhbb-Acvr1b_Acvr2a	p<1
E125	E125	lr_pair:Inhbb-Acvr1b_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhbb	Acvr1b_Acvr2a	Epithelial	Epithelial	5.452580139981669e-06	0.0	1	Tcfl5	4.0	0.17159491105060953	0.17159491105060953	3.260126537843471e-05	0.00801176096675033	activation	FDR	commot_cluster-lineage-cellchat-Inhbb-Acvr1b_Acvr2a	p<1
E125	E125	lr_pair:Inhbb-Acvr1b_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhbb	Acvr1b_Acvr2a	Epithelial	Epithelial	5.452580139981669e-06	0.0	1	Ebf4	5.0	0.15171984768218924	0.15171984768218924	0.00024515788606628287	0.048198040400631206	activation	FDR	commot_cluster-lineage-cellchat-Inhbb-Acvr1b_Acvr2a	p<1
E125	E125	lr_pair:Inhbb-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhbb	Acvr1b_Acvr2b	Epithelial	Epithelial	3.2886023425440823e-06	0.0	1	Stat4	1.0	0.24644357398181652	0.24644357398181652	1.7948257262730706e-09	1.7643136889264284e-06	activation	FDR	commot_cluster-lineage-cellchat-Inhbb-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhbb-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhbb	Acvr1b_Acvr2b	Epithelial	Epithelial	3.2886023425440823e-06	0.0	1	Tcfl5	2.0	0.22812549067288423	0.22812549067288423	2.7672956420367968e-08	1.3601258080610857e-05	activation	FDR	commot_cluster-lineage-cellchat-Inhbb-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2a	Odontogenic	Odontogenic	8.473320460808509e-05	0.02	5									commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2a	p<1
E125	E125	lr_pair:Inhba-Acvr1b_Acvr2b	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhba	Acvr1b_Acvr2b	PalatalMes	PalatalMes	3.4703767253837595e-05	0.02	4									commot_cluster-lineage-cellchat-Inhba-Acvr1b_Acvr2b	p<1
E125	E125	lr_pair:Inhbb-Acvr1c_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhbb	Acvr1c_Acvr2a	Odontogenic	Odontogenic	2.2234766400668186e-06	0.02	1	Foxe1	1.0	0.5783001183228695	0.5783001183228695	1.2181532005282315e-55	1.1292280168896707e-52	activation	FDR	commot_cluster-lineage-cellchat-Inhbb-Acvr1c_Acvr2a	p<1
E125	E125	lr_pair:Inhbb-Acvr1c_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhbb	Acvr1c_Acvr2a	Odontogenic	Odontogenic	2.2234766400668186e-06	0.02	1	Dbp	2.0	0.17879656767045266	0.17879656767045266	9.034332749269294e-06	0.004187413229286318	activation	FDR	commot_cluster-lineage-cellchat-Inhbb-Acvr1c_Acvr2a	p<1
E125	E125	lr_pair:Inhbb-Acvr1c_Acvr2a	lr_pair	pathway:ACTIVIN	ACTIVIN	ACTIVIN	Inhbb	Acvr1c_Acvr2a	Odontogenic	Odontogenic	2.2234766400668186e-06	0.02	1	Zfp709	3.0	0.1744329846446416	0.1744329846446416	1.4976636749680503e-05	0.004627780755651275	activation	FDR	commot_cluster-lineage-cellchat-Inhbb-Acvr1c_Acvr2a	p<1
