slice,signal_type,parent_signal_id,pathway,ligand,receptor,sender_region,receiver_region,downstreamTF,direction
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna3,Epithelial,Fibroblastic,Gata2,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna3,Epithelial,Fibroblastic,Zfp202,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna3,Epithelial,Fibroblastic,Ncoa3,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna3,Epithelial,Fibroblastic,Zfp456,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna3,Epithelial,Fibroblastic,Zfp853,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna3,Epithelial,Fibroblastic,Pax9,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna3,Epithelial,Fibroblastic,Pqbp1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna3,Epithelial,Fibroblastic,Maf,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna3,Epithelial,Fibroblastic,Zscan29,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna3,Epithelial,Fibroblastic,Cebpb,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna3,Epithelial,Fibroblastic,Dmc1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna3,Epithelial,Fibroblastic,Myb,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna3,Epithelial,Fibroblastic,Gata3,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna3,Epithelial,Fibroblastic,Mtf1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna3,Epithelial,Fibroblastic,Zfp84,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna3,Epithelial,Fibroblastic,Nucb1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna3,Epithelial,Fibroblastic,Tfap2b,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna1,Epithelial,PalatalMes,,
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3b,Nrp1_Plxna3,Odontogenic,Odontogenic,,
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Plxnd1,Fibroblastic,Fibroblastic,Pax3,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Plxnd1,Fibroblastic,Fibroblastic,Tbx6,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Plxnd1,Fibroblastic,Fibroblastic,Irf1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Plxnd1,Fibroblastic,Fibroblastic,Zfp820,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Plxnd1,Fibroblastic,Fibroblastic,Rarb,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Plxnd1,Fibroblastic,Fibroblastic,Mafb,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Plxnd1,Fibroblastic,Fibroblastic,Zbtb4,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Plxnd1,Fibroblastic,Fibroblastic,Klf7,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Plxnd1,Fibroblastic,Fibroblastic,Sp4,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Plxnd1,Fibroblastic,Fibroblastic,Zfp607b,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Plxnd1,Fibroblastic,Fibroblastic,Zkscan8,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Plxnd1,Fibroblastic,Fibroblastic,Srebf1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Plxnd1,Fibroblastic,Fibroblastic,Acaa1b,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Plxnd1,Fibroblastic,Fibroblastic,Pou5f2,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Plxnd1,Fibroblastic,Fibroblastic,Zfp3,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Plxnd1,Fibroblastic,Fibroblastic,Zfp704,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Plxnd1,Fibroblastic,Fibroblastic,Zfp622,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Plxnd1,Fibroblastic,Fibroblastic,Mbd1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Plxnd1,Fibroblastic,Fibroblastic,Creb5,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Plxnd1,Fibroblastic,Fibroblastic,Cux2,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna1,Epithelial,Epithelial,Prdm6,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna1,Epithelial,Epithelial,Ctcfl,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna1,Epithelial,Epithelial,Zbtb7b,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna1,Epithelial,Epithelial,Foxq1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna1,Epithelial,Epithelial,Nfatc2,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna1,Epithelial,Epithelial,Rorb,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna1,Epithelial,Epithelial,Frem1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna1,Epithelial,Epithelial,Etv1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna1,Epithelial,Epithelial,Ahr,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna1,Epithelial,Epithelial,Klf7,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna1,Epithelial,Epithelial,Fhl2,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna1,Epithelial,Epithelial,Heyl,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna1,Epithelial,Epithelial,Sox8,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna1,Epithelial,Epithelial,Tbx2,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna1,Epithelial,Epithelial,Pou4f1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3f,Nrp2_Plxna1,Epithelial,Epithelial,Twist2,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna4,Epithelial,Fibroblastic,Foxc1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna4,Epithelial,Fibroblastic,Acaa1b,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna4,Epithelial,Fibroblastic,Zfp667,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna4,Epithelial,Fibroblastic,Zbtb45,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna4,Epithelial,Fibroblastic,Zfp764,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna4,Epithelial,Fibroblastic,Prdm9,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna4,Epithelial,Fibroblastic,Mzf1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna4,Epithelial,Fibroblastic,Rfx2,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna4,Epithelial,Fibroblastic,Nfatc1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna4,Epithelial,Fibroblastic,Zfp11,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna4,Epithelial,Fibroblastic,Gm3854,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna4,Epithelial,Fibroblastic,Pax3,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna4,Epithelial,Fibroblastic,Hinfp,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna4,Epithelial,Fibroblastic,Zfp746,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna4,Epithelial,Fibroblastic,Alx1,activation
E155,lr_pair,pathway:SEMA3,SEMA3,Sema3c,Nrp1_Plxna4,Epithelial,Fibroblastic,Batf3,activation
